"","district","month","month_week","Total_inbound_calls","Total_unique_callers","Average_duration","paddy","okyourreplies","qna","annou","exp"
"1","BALANGIR","May","May-Week 1",3,2,183.666666666667,2,0,0,2,0
"2","BALANGIR","May","May-Week 2",7,4,352,3,0,5,2,1
"3","BALANGIR","May","May-Week 3",841,730,305.340071343638,175,58,309,102,22
"4","BALANGIR","May","May-Week 4",988,765,230.126518218623,195,75,293,108,22
"5","BALANGIR","Jun","Jun-Week 1",612,500,170.214052287582,119,41,169,90,11
"6","BALANGIR","Jun","Jun-Week 2",359,287,390.966573816156,64,31,99,42,7
"7","BALANGIR","Jun","Jun-Week 3",423,331,189.442080378251,78,26,143,49,19
"8","BALANGIR","Jun","Jun-Week 4",747,573,222.133868808568,166,38,245,99,28
"9","BALANGIR","Jul","Jul-Week 1",495,379,225.573737373737,94,27,148,74,8
"10","BALANGIR","Jul","Jul-Week 2",403,330,175.451612903226,80,24,101,64,13
"11","BALANGIR","Jul","Jul-Week 3",359,314,172.217270194986,71,24,105,46,10
"12","BALANGIR","Jul","Jul-Week 4",579,472,192.514680483592,125,25,167,74,19
"13","BALANGIR","Aug","Aug-Week 1",502,393,184.151394422311,96,32,140,83,15
"14","BALANGIR","Aug","Aug-Week 2",419,368,131.045346062053,80,25,111,52,8
"15","BALANGIR","Aug","Aug-Week 3",337,306,167.985163204748,70,17,106,31,8
"16","BALANGIR","Aug","Aug-Week 4",727,578,174.082530949106,138,38,228,76,18
"17","BALANGIR","Sep","Sep-Week 1",351,291,169.276353276353,80,12,118,34,8
"18","BALANGIR","Sep","Sep-Week 2",390,323,184.551282051282,74,27,122,39,14
"19","BALANGIR","Sep","Sep-Week 3",235,206,206.83829787234,56,19,73,26,5
"20","BALANGIR","Sep","Sep-Week 4",638,499,361.042319749216,153,30,217,73,13
"21","BALANGIR","Oct","Oct-Week 1",323,252,462.349845201238,64,14,158,26,1
"22","BALANGIR","Oct","Oct-Week 2",434,359,308.808755760369,115,29,197,87,8
"23","BALANGIR","Oct","Oct-Week 3",1010,829,391.883168316832,220,66,368,129,27
"24","BALANGIR","Oct","Oct-Week 4",48,40,181.8125,17,3,23,6,1
"25","BALASORE","Sep","Sep-Week 4",2,1,231.5,0,0,2,0,0
"26","BALASORE","Oct","Oct-Week 1",2,1,125.5,0,0,2,0,0
"27","BALASORE","Oct","Oct-Week 3",2,2,19,0,0,0,0,0
"28","BARGARH","Sep","Sep-Week 1",261,224,173.141762452107,69,31,88,52,6
