"","month","month_week","Total_inbound_calls","Total_unique_callers","Average_duration","paddy","okyourreplies","qna","annou","exp"
"13","May","May-Week 1",14,"10","202.214285714286",3,4,7,3,0
"14","May","May-Week 2",13,"9","213.230769230769",3,0,9,2,1
"15","May","May-Week 3",942,"821","282.866242038217",188,63,330,109,24
"16","May","May-Week 4",1132,"879","219.775618374558",214,84,328,120,24
"9","Jun","Jun-Week 1",724,"597","165.997237569061",126,41,186,97,12
"10","Jun","Jun-Week 2",445,"366","337.384269662921",74,35,111,49,8
"11","Jun","Jun-Week 3",541,"429","170.685767097967",86,32,169,52,21
"12","Jun","Jun-Week 4",958,"734","203.848643006263",191,54,291,119,32
"5","Jul","Jul-Week 1",605,"474","214.095867768595",111,32,173,90,9
"6","Jul","Jul-Week 2",516,"425","165.203488372093",97,28,120,80,13
"7","Jul","Jul-Week 3",536,"448","149.891791044776",96,30,158,63,12
"8","Jul","Jul-Week 4",810,"643","175.430864197531",145,33,219,93,28
"1","Aug","Aug-Week 1",615,"483","177.087804878049",108,38,166,95,15
"2","Aug","Aug-Week 2",549,"471","130.896174863388",96,31,140,65,13
"3","Aug","Aug-Week 3",408,"363","163.696078431373",77,19,122,35,12
"4","Aug","Aug-Week 4",1022,"807","175.305283757339",192,74,324,113,31
"21","Sep","Sep-Week 1",1944,"1522","223.127057613169",457,221,757,292,68
"22","Sep","Sep-Week 2",1803,"1409","238.270660011093",402,171,646,223,80
"23","Sep","Sep-Week 3",1552,"1257","295.581829896907",314,134,492,175,58
"24","Sep","Sep-Week 4",3910,"3015","276.869309462916",876,361,1321,487,140
"17","Oct","Oct-Week 1",3390,"2679","247.308259587021",599,230,1043,352,76
"18","Oct","Oct-Week 2",1966,"1616","184.495930824008",336,110,682,240,38
"19","Oct","Oct-Week 3",3334,"2789","351.848230353929",604,221,1018,400,105
"20","Oct","Oct-Week 4",139,"108","191.244604316547",30,12,60,12,6
