,district,month,month_week,Total_outbound_calls,Total_pushcalls,Pickup_rate,Listening_rate,Listening_rate_100_
1,BALANGIR,May,May-Week 3,10261,0,0,0,0
2,BALANGIR,May,May-Week 4,19487,19419,70.12931342,75.91846054,39.58842706
3,BALANGIR,Jun,Jun-Week 1,12636,12601,66.65299005,75.59783096,36.52319902
4,BALANGIR,Jun,Jun-Week 2,8231,8214,58.86127799,74.80423188,38.15819995
5,BALANGIR,Jun,Jun-Week 3,9513,9480,64.23781274,74.01318732,50.55209797
6,BALANGIR,Jun,Jun-Week 4,19526,19469,65.29299498,75.19359506,50.00541301
7,BALANGIR,Jul,Jul-Week 1,13280,13256,64.73449534,77.69509596,42.99195545
8,BALANGIR,Jul,Jul-Week 2,10981,10968,57.65099311,75.96622785,43.78625417
9,BALANGIR,Jul,Jul-Week 3,11698,11671,52.30036482,77.36223494,48.40147258
10,BALANGIR,Jul,Jul-Week 4,19708,19679,67.05733558,72.77433114,36.57739218
11,BALANGIR,Aug,Aug-Week 1,18108,18080,76.43899473,71.80360833,36.19249635
12,BALANGIR,Aug,Aug-Week 2,18586,18553,74.45277665,71.19889259,37.26691166
13,BALANGIR,Aug,Aug-Week 3,15537,15521,59.62707742,71.57755946,38.78314072
14,BALANGIR,Aug,Aug-Week 4,31914,31847,67.42501013,80.59233079,55.33929511
15,BALANGIR,Sep,Sep-Week 1,14623,14583,60.52456101,79.08982813,51.19353654
16,BALANGIR,Sep,Sep-Week 2,16625,16594,62.18574109,78.40099643,51.74234424
17,BALANGIR,Sep,Sep-Week 3,10976,10948,62.40977235,81.36588205,57.45106762
18,BALANGIR,Sep,Sep-Week 4,26463,26188,70.93471706,75.75243364,46.82680902
19,BALANGIR,Oct,Oct-Week 1,10027,9868,47.27401702,81.82705003,57.47052519
20,BALANGIR,Oct,Oct-Week 2,10355,328,52.01793722,79.32125709,48.27586207
21,BALANGIR,Oct,Oct-Week 3,18331,0,0,0,0
22,BALANGIR,Oct,Oct-Week 4,38,0,0,0,0
23,BALASORE,Oct,Oct-Week 1,4,0,0,0,0
24,BALASORE,Oct,Oct-Week 3,20,0,0,0,0
25,BARGARH,Aug,Aug-Week 2,19,0,0,0,0
26,BARGARH,Aug,Aug-Week 3,5,0,0,0,0
27,BARGARH,Aug,Aug-Week 4,16,0,0,0,0
28,BARGARH,Sep,Sep-Week 1,7,0,0,0,0
29,BARGARH,Sep,Sep-Week 2,3308,3290,65.77661999,79.71145686,48.61386139
30,BARGARH,Sep,Sep-Week 3,4422,4393,77.05824927,79.83524778,51.90033784
31,BARGARH,Sep,Sep-Week 4,6247,5025,82.98080052,77.05249713,46.39215686
32,BARGARH,Oct,Oct-Week 1,1496,0,0,0,0
33,BARGARH,Oct,Oct-Week 2,6882,6854,74.90990991,76.60625528,44.9789537
34,BARGARH,Oct,Oct-Week 3,7669,0,0,0,0
35,BARGARH,Oct,Oct-Week 4,13,0,0,0,0
36,BHADRAK,Oct,Oct-Week 3,16,0,0,0,0
37,BHANJNAGAR,Oct,Oct-Week 3,1,0,0,0,0
38,BOUDH,Oct,Oct-Week 3,2,0,0,0,0
39,DEOGARH,Sep,Sep-Week 3,87,87,75,73.60082787,33.33333333
40,DEOGARH,Sep,Sep-Week 4,83,80,72.72727273,76.50462963,34.375
41,DEOGARH,Oct,Oct-Week 2,45,45,55.55555556,81.01333333,40
42,DEOGARH,Oct,Oct-Week 3,104,0,0,0,0
43,DHENKANAL,Oct,Oct-Week 3,6,0,0,0,0
44,GAJAPATI,Aug,Aug-Week 2,6,0,0,0,0
45,GAJAPATI,Aug,Aug-Week 3,1,0,0,0,0
46,GAJAPATI,Aug,Aug-Week 4,4,0,0,0,0
47,GAJAPATI,Sep,Sep-Week 1,3,0,0,0,0
48,GAJAPATI,Sep,Sep-Week 3,290,288,62.5,75.71012735,40
49,GAJAPATI,Sep,Sep-Week 4,277,269,61.76470588,79.3797766,42.85714286
50,GAJAPATI,Oct,Oct-Week 1,4,0,0,0,0
51,GAJAPATI,Oct,Oct-Week 2,137,137,11.67883212,86.41666667,62.5
52,GAJAPATI,Oct,Oct-Week 3,301,0,0,0,0
53,GANJAM,Aug,Aug-Week 2,4,0,0,0,0
54,GANJAM,Aug,Aug-Week 3,1,0,0,0,0
55,GANJAM,Aug,Aug-Week 4,2,0,0,0,0
56,GANJAM,Sep,Sep-Week 1,1,0,0,0,0
57,GANJAM,Sep,Sep-Week 2,1731,1730,74.27884615,75.22771884,40.45307443
