"","district","block","month","month_week","Total_outbound_calls","Total_pushcalls","Pickup_rate","Listening_rate","Listening_rate_100_"
"1","BALANGIR","AGALPUR","May","May-Week 3",6,0,0,0,0
"2","BALANGIR","AGALPUR","May","May-Week 4",7,7,71.4285714285714,58.5294117647059,40
"3","BALANGIR","AGALPUR","Jun","Jun-Week 1",6,6,83.3333333333333,95.8139534883721,80
"4","BALANGIR","AGALPUR","Jun","Jun-Week 2",6,6,50,95.2380952380952,66.6666666666667
"5","BALANGIR","AGALPUR","Jun","Jun-Week 3",5,5,100,100,100
"6","BALANGIR","AGALPUR","Jun","Jun-Week 4",12,12,81.8181818181818,85.3968253968254,77.7777777777778
"7","BALANGIR","AGALPUR","Jul","Jul-Week 1",6,6,100,84.1991341991342,50
"8","BALANGIR","AGALPUR","Jul","Jul-Week 2",6,6,83.3333333333333,96.9047619047619,80
"9","BALANGIR","AGALPUR","Jul","Jul-Week 3",6,6,83.3333333333333,82.5641025641026,60
"10","BALANGIR","AGALPUR","Jul","Jul-Week 4",9,9,85.7142857142857,65.5448717948718,16.6666666666667
"11","BALANGIR","AGALPUR","Aug","Aug-Week 1",14,14,33.3333333333333,54.8543689320388,0
"12","BALANGIR","AGALPUR","Aug","Aug-Week 2",9,9,83.3333333333333,53.125,20
"13","BALANGIR","AGALPUR","Aug","Aug-Week 3",9,9,50,100,100
"14","BALANGIR","AGALPUR","Aug","Aug-Week 4",17,17,58.3333333333333,84.8779761904762,57.1428571428571
"15","BALANGIR","AGALPUR","Sep","Sep-Week 1",9,9,75,79.5677681992337,50
"16","BALANGIR","AGALPUR","Sep","Sep-Week 2",8,8,100,82.9745596868885,42.8571428571429
"17","BALANGIR","AGALPUR","Sep","Sep-Week 3",8,8,66.6666666666667,83.6805555555556,50
"18","BALANGIR","AGALPUR","Sep","Sep-Week 4",75,7,100,74.1388479790542,42.8571428571429
"19","BALANGIR","AGALPUR","Oct","Oct-Week 1",7,6,83.3333333333333,73.0434782608696,40
"20","BALANGIR","AGALPUR","Oct","Oct-Week 2",37,29,3.57142857142857,78.4810126582279,0
"21","BALANGIR","AGALPUR","Oct","Oct-Week 3",74,0,0,0,0
"22","BALANGIR","BANGAMUNDA","May","May-Week 3",175,0,0,0,0
"23","BALANGIR","BANGAMUNDA","May","May-Week 4",248,243,83.5365853658537,75.9338772005152,41.6058394160584
"24","BALANGIR","BANGAMUNDA","Jun","Jun-Week 1",164,164,58.5365853658537,81.8742719860221,44.7916666666667
"25","BALANGIR","BANGAMUNDA","Jun","Jun-Week 2",150,150,62.5,81.0499316005472,47.7777777777778
"26","BALANGIR","BANGAMUNDA","Jun","Jun-Week 3",28,28,70.8333333333333,78.5206390248407,35.2941176470588
