"","district","week","caseworm","termite","blb","bph","sheathrot","stemborer","aphids","caterpillar","greenleafhopper","blast","sheathblight","gallmidge","gundhibug","yellowing","grasshopper","wilt","footrot","leafcurl","leaffolder","yellowveinmosiac","others"
"1","BALANGIR","Week 1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BALANGIR","Week 2",1,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
"3","BALANGIR","Week 3",2,0,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"4","BALASORE","Week 2",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5","BALASORE","Week 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6","BARGARH","Week 1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","BARGARH","Week 2",0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"8","BARGARH","Week 3",0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"9","BHADRAK","Week 2",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","GANJAM","Week 1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11","GANJAM","Week 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12","JHARSUGUDA","Week 2",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13","KEONJHAR","Week 1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","KEONJHAR","Week 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"15","MAYURBHANJ","Week 1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","MAYURBHANJ","Week 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17","MAYURBHANJ","Week 3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","PURI","Week 1",0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","PURI","Week 2",3,0,5,6,1,3,1,0,1,1,1,0,0,0,2,0,0,0,0,0,3
"20","PURI","Week 3",1,0,4,2,1,3,4,0,0,0,1,0,0,0,0,0,1,0,0,1,2
"21",NA,"Week 2",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"22",NA,"Week 3",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
