"","district","block","week","caseworm","termite","blb","bph","sheathrot","stemborer","aphids","caterpillar","greenleafhopper","blast","sheathblight","gallmidge","gundhibug","yellowing","grasshopper","wilt","footrot","leafcurl","leaffolder","yellowveinmosiac","others"
"1","BALANGIR","BELAPADA","Week 3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BALANGIR","BOLANGIR","Week 2",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"3","BALANGIR","BOLANGIR","Week 3",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","BALANGIR","LUISINGA","Week 1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","BALANGIR","LUISINGA","Week 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6","BALANGIR","MURIBAHAL","Week 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7","BALANGIR","PATNAGARH","Week 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"8","BALANGIR","PATNAGARH","Week 3",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9","BALANGIR","PUINTALA","Week 2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","BALANGIR","SAINTALA","Week 2",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","BALANGIR","SAINTALA","Week 3",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12","BALANGIR","TITLAGARH","Week 3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","BALASORE","BASTA","Week 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14","BALASORE","KHAIRA","Week 2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","BALASORE","OUPADA","Week 2",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"16","BARGARH","AMBABHONA","Week 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","BARGARH","ATABIRA","Week 2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18","BARGARH","BARPALI","Week 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19","BARGARH","BARPALI","Week 3",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"20","BARGARH","BHATALI","Week 3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","BARGARH","PADAMPUR NAC","Week 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","BARGARH","PADAMPUR NAC","Week 3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","BARGARH","RAJBORASAMBAR","Week 2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","BARGARH","SOHELLA","Week 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","BHADRAK","BHADRAK","Week 2",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","GANJAM","BEGUNIAPADA","Week 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27","GANJAM","HINJILICUT","Week 1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"28","JHARSUGUDA","LAIKERA","Week 2",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
